,序号,类别代号,产品分类,产品名称,判定结果,不合格项目分类,不合格项目,不合格规范列,检测数值,法规限制,规格型号,商标,生产日期,生产企业名称,生产企业地址,生产省份代码,生产省份,抽样单位名称,抽样单位代码,抽样单位地址,通报时间,通报文号,通报单位,措施,来源链接,来源链接.1,检验项目,抽检代码,抽检级别,检验机构,标准,备注
191,192,18,炒货及坚果制品-->坚果籽类制品,花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,102μg/kg,≤20μg/kg,,/,2022-03-18,/,/,0,不详,钟山区乐满家超市官厅店,27,贵州省六盘水市钟山区荷城东路4号,2022-11-01,2022年第10期,六盘水市场监管局,,,http://scjg.gzlps.gov.cn/tzgg/202211/t20221101_76971094.html,,3,市抽,贵州省检测技术研究应用中心,GB 2761-2017,
192,193,18,炒货及坚果制品-->坚果籽类制品,白皮花生米,不合格,生物毒素,黄曲霉毒素B,黄曲霉毒素B₁,73.7μg/kg,≤20μg/kg,,/,2022-01-26,/,/,0,不详,贵州惠玖玖贸易有限公司红桥分公司,27,贵州省六盘水市钟山开发区红桥路与凤凉路交叉口西北角财富公馆1层133铺1号门面,2022-11-01,2022年第10期,六盘水市场监管局,,,http://scjg.gzlps.gov.cn/tzgg/202211/t20221101_76971094.html,,3,市抽,贵州省检测技术研究应用中心,GB 2761-2017,
193,194,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,45.1μg/kg,≤20μg/kg,散装称重,/,2022-04-08,广州市从化太平香厨油厂,广州市从化区太平镇银林村林村队58号,1,广东,广州市从化太平香厨油厂,1,广州市从化区太平镇银林村林村队58号,2022-11-01,2022年第30期,广州市场监管局,,,https://www.gz.gov.cn/zwgk/zdly/spypaq/zlxx/spzlxx/content/post_8649195.html,,3,市抽,广州检验检测认证集团有限公司,GB 2761-2017,
194,195,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,44.4μg/kg,≤20μg/kg,散装称重,/,2022-04-29,广州市从化鳌头深芬油厂,广州市从化区鳌头镇高平里商业后街8号首层,1,广东,广州市从化鳌头深芬油厂,1,广州市从化区鳌头镇高平里商业后街8号首层,2022-11-01,2022年第30期,广州市场监管局,,,https://www.gz.gov.cn/zwgk/zdly/spypaq/zlxx/spzlxx/content/post_8649195.html,,3,市抽,广州检验检测认证集团有限公司,GB 2761-2017,
195,196,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,,,/,/,2022-07-17,/,/,0,不详,新丰县紫龙农庄,1,新丰县丰城街道紫城村神背组路口（住改商）,2022-10-31,2022年第36期,韶关市场监管局,,,https://www.sg.gov.cn/sgjdglj/gkmlpt/content/2/2322/post_2322298.html,"溶剂残留量,特丁基对苯二酚(TBHQ),苯并[a]芘,过氧化值,酸价(KOH),铅(以Pb计),黄曲霉毒素B₁",3,市抽,广东省食品工业研究所有限公司(广东省质量监督食品检验站),,
196,197,18,炒货及坚果制品-->坚果籽类,花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,42.5μg/kg,≤20μg/kg,/,/,2022-08-17,/,/,0,不详,云阳县水帘洞科技有限公司吾空花果山青龙生活服务站,10,重庆市云阳县双江街道青龙路358号,2022-10-31,2022年第39号,重庆市场监管局,所在地市场监督管理部门已按《中华人民共和国食品安全法》的要求，对上述抽检中发现的不合格产品，依法启动查处工作，同时已采取风险控制措施，查清产品流向，召回、下架不合格产品，分析原因并进行整改。,http://news.foodmate.net/2022/11/644842.html,https://scjgj.cq.gov.cn/zfxxgk_225/fdzdgknr/jdcj/spaq_1/jcjgxx/202210/t20221031_11250288.html,,2,省抽,重庆市食品药品检验检测研究院,GB 2761-2017,
197,198,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,45.8μg/kg,≤20,/,/,2022-05-20,新泰市楼德镇诚真油坊加工店,山东省泰安市新泰市楼德镇东村,2,山东,新泰市楼德镇诚真油坊加工店,2,山东省泰安市新泰市楼德镇东村,2022-10-31,2022年第36期,山东市场监管局,对上述抽检中发现的不合格产品，当地市场监管部门已责令生产经营者查清产品流向，召回、下架不合格产品，控制风险，并分析原因进行整改，涉及的不合格产品已按要求开展核查处置工作。特别提示消费者，在购买到或在市场上发现通告中所涉不合格产品时，请拨打12345热线电话进行投诉或举报。,http://news.foodmate.net/2022/11/644844.html,http://amr.shandong.gov.cn/art/2022/10/31/art_76551_10301743.html,,2,省抽,泰安市食品药品检验检测研究院（泰安市纤维检验所）,GB 2761-2017,
198,199,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,380μg/kg,≤20μg/kg,,/,2022-06-23,/,/,0,不详,广陵区广垆缘餐饮店,3,江苏省扬州市广陵区东关街道徐凝门大街82号,2022-10-28,2022年第15期,扬州市场监管局,,,http://www.yangzhou.gov.cn/yzszxxgk/scjgj/202211/a9b6298c1fe549bca54ace873f1ba4ef.shtml,,3,市抽,南京海关动植物与食品检测中心,GB 2761-2017,
199,200,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,288μg/kg,≤20μg/kg,,/,2022-06-21,/,/,0,不详,广陵区天下客餐饮店,3,江苏省扬州市广陵区东关街道彩衣苑5幢119、219,2022-10-28,2022年第15期,扬州市场监管局,,,http://www.yangzhou.gov.cn/yzszxxgk/scjgj/202211/a9b6298c1fe549bca54ace873f1ba4ef.shtml,,3,市抽,南京海关动植物与食品检测中心,GB 2761-2017,
200,201,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,246μg/kg,≤20μg/kg,散装称重,,,/,/,3,江苏,南京市溧水区嘉华一品酒店,3,江苏省南京市溧水区经济开发区宝塔北路16号一品骊城5号综合楼103、104室,2022-10-28,2022年第37期,南京市场监管局,上述不合格食品详细信息见附件。针对监督抽检中发现的不合格食品，我局已通知相关区局立即组织开展处置工作，采取下架召回不合格食品等措施控制风险；对违法违规行为，依法处理；及时将企业采取的风险防控措施和核查处置情况向社会公开。对不合格食品涉及的外地企业，我局已函告当地监管部门。,,http://amr.nanjing.gov.cn/ztzl/spaqjg/spcj/202210/t20221028_3739046.html,,3,市抽,,GB 2761-2017,
201,202,31,餐饮环节产品-->其他餐饮环节产品,水煮花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,58.4μg/kg,≤20μg/kg,/,/,2022-07-14,/,/,20,山西,泽州县金村镇万家香饭店,20,山西省晋城市泽州县金村镇政府西300米,2022-10-28,2022年第32期,山西市场监管局,针对上述抽检中发现的不合格产品，我局已督导市级市场监管部门按照相关法律法规依法处理。,http://news.foodmate.net/2022/10/644700.html,https://scjgj.shanxi.gov.cn/zwgk/zdgkjbml/tcfl/gstg/202210/t20221028_7331315.shtml,,2,省抽,中检集团中原农食产品检测（河南）有限公司,GB 2761-2017,
202,203,18,炒货及坚果制品-->坚果籽类,红皮花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,84.4μg/kg,≤20μg/kg,/,/,2022-03-23,/,/,0,不详,贵阳乌当合力生鲜超市有限公司,27,贵州省贵阳市乌当区航天路172号“保利公园2010”3-1区商业2幢负1层1号,2022-10-26,2022年第7期,贵阳市场监管局,,,http://amr.guiyang.gov.cn/zwgk/zdlyxxgk/spaq_5772411/202210/t20221027_76926574.html,,3,市抽,贵州省检测技术研究应用中心,GB 2761-2017,GB2761-2017《食品安全国家标准食品中真菌毒素限量》
203,204,18,炒货及坚果制品-->坚果籽类,白花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,96.2μg/kg,≤20μg/kg,/,/,2022-01-28,/,/,0,不详,贵阳云岩供销百合联商贸有限公司,27,贵州省贵阳市云岩区大营路街道百花山路67号百花商业广场2层,2022-10-26,2022年第7期,贵阳市场监管局,,,http://amr.guiyang.gov.cn/zwgk/zdlyxxgk/spaq_5772411/202210/t20221027_76926574.html,,3,市抽,贵州省检测技术研究应用中心,GB 2761-2017,GB2761-2017《食品安全国家标准食品中真菌毒素限量》
204,205,31,餐饮环节产品-->其他餐饮环节产品,盐灼花生,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,193μg/kg,≤20μg/kg,/,/,2022-03-29,/,/,0,不详,贵阳市南明区磨砺火锅店,27,贵州省贵阳市南明区花果园后街彭家湾花果园项目E区第E5号楼1层19号房[花果园社区],2022-10-26,2022年第7期,贵阳市场监管局,,,http://amr.guiyang.gov.cn/zwgk/zdlyxxgk/spaq_5772411/202210/t20221027_76926574.html,,3,市抽,贵州省检测技术研究应用中心,GB 2761-2017,GB2761-2017《食品安全国家标准食品中真菌毒素限量》
205,206,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,110μg/kg,≤20μg/kg,散装称重,/,2022-03-29,/,/,0,不详,南明区怡云杰安火锅店,27,贵州省贵阳市南明区花果园街道办事处花果园项目E区第E6栋1层25号[花果园办事处],2022-10-26,2022年第7期,贵阳市场监管局,,,http://amr.guiyang.gov.cn/zwgk/zdlyxxgk/spaq_5772411/202210/t20221027_76926574.html,,3,市抽,贵州省检测技术研究应用中心,GB 2761-2017,GB2761-2017《食品安全国家标准食品中真菌毒素限量》
206,207,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,89.1μg/kg,≤20μg/kg,散装称重,/,2022-04-21,/,/,0,不详,贵州大学后勤管理处饮食服务中心西三食堂,27,"贵州省贵阳市观山湖区诚信路东侧群升千禧广场05-07B地块2层7-1至2-7号,2-39号,2-44号,2-45至2-47号",2022-10-26,2022年第7期,贵阳市场监管局,,,http://amr.guiyang.gov.cn/zwgk/zdlyxxgk/spaq_5772411/202210/t20221027_76926574.html,,3,市抽,贵州省检测技术研究应用中心,GB 2761-2017,GB2761-2017《食品安全国家标准食品中真菌毒素限量》
207,208,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,45.5,≤20μg/kg,/,/,2022-07-28,平南县大安镇溢香油房,平南县大安镇恒安街161号,15,广西,平南县大安镇溢香油房,15,平南县大安镇恒安街161号,2022-10-26,2022年第5期,贵港市场监管局,,,http://scjg.gxgg.gov.cn/cjxxgk/t13248369.shtml,,3,市抽,广西华坤检测技术有限公司,GB 2761-2017,
208,209,18,炒货及坚果制品-->坚果籽类制品,烘焙花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,45.6μg/kg，52.9μg/kg,≤20,180克/袋,阿丘果,2022-04-24,潍坊鲁汉贸易有限公司,山东省潍坊市潍城区望留街道望留屯村,2,山东,滕州市姜屯丽都生活超市,2,山东省枣庄市滕州市姜屯镇第一街B区2-10号,2022-10-26,2022年第35期,山东市场监管局,　对上述抽检中发现的不合格产品，当地市场监管部门已责令生产经营者查清产品流向，召回、下架不合格产品，控制风险，并分析原因进行整改，涉及的不合格产品已按要求开展核查处置工作。,http://news.foodmate.net/2022/10/644431.html,http://amr.shandong.gov.cn/art/2022/10/26/art_76551_10301653.html,,2,省抽,初检机构:山东省产品质量检验研究院复检机构：青岛市产品质量检验研究院,GB 2761-2017,复检不合格
209,210,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,26.9,≤20μg/kg,/,/,2022-07-05,桂平市油麻镇陈国奎油坊,广西贵港市桂平市油麻镇旧圩大桥头,15,广西,桂平市油麻镇陈国奎油坊,15,广西贵港市桂平市油麻镇旧圩大桥头,2022-10-24,2022年第4期,贵港市场监管局,,,http://scjg.gxgg.gov.cn/cjxxgk/t13224206.shtml,,3,市抽,广西民生中检联检测有限公司,GB 2761-2017,
210,211,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,37.4,≤20μg/kg,/,/,2022-05-20,贵港市覃塘区黄练镇付伟光油坊,贵港市覃塘区黄练镇黄练村5队,15,广西,贵港市覃塘区黄练镇付伟光油坊,15,贵港市覃塘区黄练镇黄练村5队,2022-10-24,2022年第4期,贵港市场监管局,,,http://scjg.gxgg.gov.cn/cjxxgk/t13224206.shtml,,3,市抽,南宁海关技术中心,GB 2761-2017,
211,212,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米（自制）,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,42.0μg/kg,≤20,/,/,2022-05-25,济南市莱芜区金旺熟食经营店,山东省济南市莱芜区任花园社区福盛巷117号,2,山东,济南市莱芜区金旺熟食经营店,2,山东省济南市莱芜区任花园社区福盛巷117号,2022-10-24,2022年第34期,山东市场监管局,对上述抽检中发现的不合格产品，当地市场监管部门已责令生产经营者查清产品流向，召回、下架不合格产品，控制风险，并分析原因进行整改，涉及的不合格产品已按要求开展核查处置工作。特别提示消费者，在购买到或在市场上发现通告中所涉不合格产品时，请拨打12345热线电话进行投诉或举报。,http://news.foodmate.net/2022/10/644208.html,http://amr.shandong.gov.cn/art/2022/10/24/art_76551_10301565.html,,2,省抽,山东众合天成检验有限公司,GB 2761-2017,
212,213,18,炒货及坚果制品-->坚果籽类,花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,118μg/kg,≤20μg/kg,/,/,,/,/,0,不详,南京喜诺餐饮管理有限公司,3,江苏省南京市秦淮区中华门街道正学路1号南京晨光1865创意产业园E1幢,2022-10-21,2022年第36期,南京市场监管局,针对监督抽检中发现的不合格食品，我局已通知相关区局立即组织开展处置工作，采取下架召回不合格食品等措施控制风险；对违法违规行为，依法处理；及时将企业采取的风险防控措施和核查处置情况向社会公开。对不合格食品涉及的外地企业，我局已函告当地监管部门。,,http://amr.nanjing.gov.cn/ztzl/spaqjg/spcj/202210/t20221021_3732152.html,,3,市抽,,GB 2761-2017,
213,214,18,炒货及坚果制品-->坚果籽类,东北小粒花生（生）,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,226μg/kg,≤20μg/kg,/,/,,/,/,0,不详,南京市鼓楼区李新欣粮油经营部,3,南京市鼓楼区燕归园18号地下室,2022-10-21,2022年第36期,南京市场监管局,针对监督抽检中发现的不合格食品，我局已通知相关区局立即组织开展处置工作，采取下架召回不合格食品等措施控制风险；对违法违规行为，依法处理；及时将企业采取的风险防控措施和核查处置情况向社会公开。对不合格食品涉及的外地企业，我局已函告当地监管部门。,,http://amr.nanjing.gov.cn/ztzl/spaqjg/spcj/202210/t20221021_3732152.html,,3,市抽,,GB 2761-2017,
214,215,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,42,≤20,/,/,2022-07-10,/,/,0,不详,新丰县祈福食屋,1,广东省韶关市新丰县丰城街道人民东路51号由东至西第一间门市,2022-10-17,2022年第35期,韶关市场监管局,,,https://www.sg.gov.cn/sgjdglj/gkmlpt/content/2/2317/post_2317097.html,"溶剂残留量,特丁基对苯二酚(TBHQ),苯并[a]芘,过氧化值,酸价(KOH),铅(以Pb计),黄曲霉毒素B₁",3,市抽,广东省食品工业研究所有限公司(广东省质量监督食品检验站),GB 2761-2017,
215,216,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,38.4,≤20,/,/,2022-07-15,/,/,0,不详,新丰县宝枫农庄,1,新丰县丰城街道罗峒村围背组19号,2022-10-17,2022年第34期,韶关市场监管局,,,https://www.sg.gov.cn/sgjdglj/gkmlpt/content/2/2317/post_2317089.html,"溶剂残留量,特丁基对苯二酚(TBHQ),苯并[a]芘,过氧化值,酸价(KOH),铅(以Pb计),黄曲霉毒素B₁",3,市抽,广东省食品工业研究所有限公司(广东省质量监督食品检验站),GB 2761-2017,
216,217,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,32.3μg/kg,20μg/kg,/,/,2022-05-21,威海市环翠区双华油坊,山东省威海市环翠区温泉镇前亭子村,2,山东,威海市环翠区双华油坊,2,山东省威海市环翠区温泉镇前亭子村,2022-10-14,2022年第34期,威海市场监管局,对上述抽检中发现的不合格产品，相关区市市场监管部门已将不合格产品检验报告送达相关生产单位，依法进行核查处置。同时责令企业停止不合格产品的生产活动，及时整改，消除食品安全隐患。,,http://www.weihai.gov.cn/art/2022/10/14/art_63745_3059774.html,,3,市抽,山东安谱检测科技有限公司,GB 2761-2017,
217,218,18,炒货及坚果制品-->坚果籽类,花生米,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,118μg/kg,≤20μg/kg,/,/,,/,/,0,不详,南京喜诺餐饮管理有限公司,3,江苏省南京市秦淮区中华门街道正学路1号南京晨光1865创意产业园E1幢,2022-10-14,2022年第35期,南京市场监管局,针对监督抽检中发现的不合格食品，我局已通知相关区局立即组织开展处置工作，采取下架召回不合格食品等措施控制风险；对违法违规行为，依法处理；及时将企业采取的风险防控措施和核查处置情况向社会公开。对不合格食品涉及的外地企业，我局已函告当地监管部门。,,http://amr.nanjing.gov.cn/ztzl/spaqjg/spcj/202210/t20221014_3723115.html,,3,市抽,,GB 2761-2017,
218,219,18,炒货及坚果制品-->坚果籽类,东北小粒花生（生）,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,226μg/kg,≤20μg/kg,/,/,,/,/,0,不详,南京市鼓楼区李新欣粮油经营部,3,南京市鼓楼区燕归园18号地下室,2022-10-14,2022年第35期,南京市场监管局,针对监督抽检中发现的不合格食品，我局已通知相关区局立即组织开展处置工作，采取下架召回不合格食品等措施控制风险；对违法违规行为，依法处理；及时将企业采取的风险防控措施和核查处置情况向社会公开。对不合格食品涉及的外地企业，我局已函告当地监管部门。,,http://amr.nanjing.gov.cn/ztzl/spaqjg/spcj/202210/t20221014_3723115.html,,3,市抽,,GB 2761-2017,
219,220,31,餐饮环节产品-->其他餐饮环节产品,五香花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,37μg/kg,≤20μg/kg,/,/,2022-07-26,/,/,8,陕西,西安市雁塔区禹老二泡馍馆,8,陕西省西安市雁塔区西影路东段北侧金业小区第F栋商业10105室,2022-10-12,2022年45号,西安市场监管局,,,http://scjg.xa.gov.cn/zwgk/xzgg/spaqcjgg/634e6a6bf8fd1c4c2120dc2a.html,,3,市抽,西安市食品药品检验所,GB 2761-2017,
220,221,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,30μg/kg,≤20μg/kg,/,/,2022-07-29,/,/,8,陕西,西安福民原始泥炉餐饮管理有限公司,8,陕西省西安市碑林区建设西路65号新旅小区5号楼1层117号商铺,2022-10-12,2022年45号,西安市场监管局,,,http://scjg.xa.gov.cn/zwgk/xzgg/spaqcjgg/634e6a6bf8fd1c4c2120dc2a.html,,3,市抽,西安市食品药品检验所,GB 2761-2017,
221,222,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,48μg/kg,≤20μg/kg,/,/,2022-07-28,/,/,8,陕西,西安市航空基地长安印象私房菜馆,8,西安市航空基地润雨路锦业六号府邸7号楼20105号商铺,2022-10-12,2022年45号,西安市场监管局,,,http://scjg.xa.gov.cn/zwgk/xzgg/spaqcjgg/634e6a6bf8fd1c4c2120dc2a.html,,3,市抽,西安市食品药品检验所,GB 2761-2017,
222,223,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,205μg/kg,≤20μg/kg,/,/,2022-07-24,/,/,8,陕西,西安曲江新区米六家泡馍烧烤店,8,陕西省西安市曲江新区唐华路三迪枫丹4幢1单元1层10102号,2022-10-12,2022年45号,西安市场监管局,,,http://scjg.xa.gov.cn/zwgk/xzgg/spaqcjgg/634e6a6bf8fd1c4c2120dc2a.html,,3,市抽,西安市食品药品检验所,GB 2761-2017,
223,224,31,餐饮环节产品-->其他餐饮环节产品,油炸花仁（油炸花生米）,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,55μg/kg,≤20μg/kg,/,/,2022-07-25,西安市鄠邑区玫瑰小院餐饮店,西安市鄠邑区甘亭街道兆丰路51号,8,陕西,西安市鄠邑区玫瑰小院餐饮店,8,西安市鄠邑区甘亭街道兆丰路51号,2022-10-12,2022年45号,西安市场监管局,,,http://scjg.xa.gov.cn/zwgk/xzgg/spaqcjgg/634e6a6bf8fd1c4c2120dc2a.html,,3,市抽,西安市食品药品检验所,GB 2761-2017,
224,225,31,餐饮环节产品-->其他餐饮环节产品,水煮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,31μg/kg,≤20μg/kg,/,/,2022-07-26,/,/,8,陕西,蓝田县鸿顺祥泡馍馆,8,陕西省西安市蓝田县华胥街道,2022-10-12,2022年45号,西安市场监管局,,,http://scjg.xa.gov.cn/zwgk/xzgg/spaqcjgg/634e6a6bf8fd1c4c2120dc2a.html,,3,市抽,西安市食品药品检验所,GB 2761-2017,
225,226,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,29μg/kg,≤20μg/kg,/,/,2022-07-22,/,/,8,陕西,西安市长安区家里村张伟铜锅羊肉馆,8,西安市长安区郭杜街办郭杜东街樱花西苑一单元10103号商铺,2022-10-12,2022年45号,西安市场监管局,,,http://scjg.xa.gov.cn/zwgk/xzgg/spaqcjgg/634e6a6bf8fd1c4c2120dc2a.html,,3,市抽,西安市食品药品检验所,GB 2761-2017,
226,227,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,34μg/kg,≤20μg/kg,/,/,2022-07-22,/,/,8,陕西,西安市长安区盛唐宴餐厅,8,西安市长安区郭杜街办东五桥村商贸楼一层,2022-10-12,2022年45号,西安市场监管局,,,http://scjg.xa.gov.cn/zwgk/xzgg/spaqcjgg/634e6a6bf8fd1c4c2120dc2a.html,,3,市抽,西安市食品药品检验所,GB 2761-2017,
227,228,18,炒货及坚果制品-->坚果籽类,新花生米（生）,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,,,散称,/,2022-09-08,,/,0,不详,铁山区胡美香干货店,19,铁山区亚东市场干货区10号,2022-10-12,2022年第9期,黄石市场监管局,,,http://scjg.huangshi.gov.cn/zwgk/fdzdgknr/gsgg/202210/t20221012_948254.html,,3,市抽,武汉海关技术中心,GB 2761-2017,
228,229,18,炒货及坚果制品-->坚果籽类,白皮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,201μg/kg,≤20μg/kg,,,2022-08-08,,/,0,不详,铜仁合力超市有限公司沿河分公司,27,沿河土家族自治县团结街道团结大道乌江丽都,2022-09-30,2022年第9期,铜仁市场监管局,,,http://www.trs.gov.cn/zwgk/zdlyxxgk/scjg/202209/t20220930_76614075.html,,3,市抽,云南华测检测认证有限公司,GB 2761-2017,
229,230,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,40.5μg/kg,≤20μg/kg,5L/桶,,2021-12-19,兰考大丰植物油有限公司,河南省开封市兰考县考城镇工业园区,4,河南,中山市西区铁城小学,1,中山市西区翠景道（南）17号,2022-09-30,2022年第41期,中山市场监管局,,,http://www.zs.gov.cn/zjj/spypaqxxgk/zlxx/spzlxx/content/post_2167740.html,,3,市抽,中山海关技术中心,GB 2761-2017,
230,231,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,56.9μg/kg,≤20μg/kg,散称,/,2022-08-04,/,/,3,江苏,南京市雨花台区弥牛火锅店,3,江苏省南京市雨花台区西善桥街道西柿路12号3幢106室,2022-09-30,2022年第34期,南京市场监管局,针对监督抽检中发现的不合格食品，我局已通知相关区局立即组织开展处置工作，采取下架召回不合格食品等措施控制风险；对违法违规行为，依法处理；及时将企业采取的风险防控措施和核查处置情况向社会公开。对不合格食品涉及的外地企业，我局已函告当地监管部门。,,http://amr.nanjing.gov.cn/ztzl/spaqjg/spcj/202209/t20220930_3714162.html,,3,市抽,,GB 2761-2017,
231,232,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,,,/,/,2022-07-18,/,/,0,不详,新丰县翠鲜农庄,1,新丰县丰城街道罗洞村大围组8号一、二楼（住所申报）,2022-09-29,2022年第33期,韶关市场监管局,,,https://www.sg.gov.cn/sgjdglj/gkmlpt/content/2/2310/post_2310881.html,"溶剂残留量,特丁基对苯二酚(TBHQ),苯并[a]芘,过氧化值,酸价(KOH),铅(以Pb计),黄曲霉毒素B₁",3,市抽,广东省食品工业研究所有限公司(广东省质量监督食品检验站),,
232,233,18,炒货及坚果制品-->坚果籽类制品,油米(油炸花生米),不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,88.6μg/kg,≤20μg/kg,/,/,2022-06-02,/,/,0,不详,湖州织里陈邵副食店,7,浙江省湖州市吴兴区织里镇织里办事处中华西路368号-1,2022-09-28,2022年第21期,湖州市场监管局,对抽检中发现的不合格产品，湖州市市场监管局已责成长兴县、安吉县、吴兴区、南浔区、南太湖新区市场监管部门依法予以查处；督促食品生产企业查清产品流向、召回不合格产品、分析原因进行整改；督促食品经营环节有关单位立即采取下架等措施控制风险。以上市场监管局自通告发布之日起,,http://scjgj.huzhou.gov.cn/art/2022/9/28/art_1229209814_58931869.html,,3,市抽,浙江方圆检测集团股份有限公司,GB 2761-2017,/
233,234,18,炒货及坚果制品-->坚果籽类制品,蒜味花生,不合格,生物毒素,黄曲霉毒素B<sub>1</sub>,黄曲霉毒素B₁,44.4μg/kg,≤20μg/kg,180克/袋,秀芝林,2022-01-01,委托方：贵州秀芝林食品有限公司；生产商：贵阳秀林食品有限公司,委托方地址：贵阳市南明区富源中路323号；生产地址：贵阳市云岩区黔灵镇偏坡村（贵阳彩印厂内）,27,贵州,贵州最美高速商贸有限公司龙宫服务区一店,27,贵州省安顺经济技术开发区沪昆高速（清镇段）龙宫服务区,2022-09-28,2022年第28期,贵州市场监管局,　对抽检发现的不合格食品，贵州省市场监管局已责成属地市场监管部门立即组织开展核查处置，查清产品流向，督促企业采取下架、召回不合格产品等措施控制风险；对违法违规行为，依法及时处理；同时将采取的风险防控措施和核查处置情况向社会公开，并向省局报告。,http://news.foodmate.net/2022/09/642374.html,http://amr.guizhou.gov.cn/zwgk/xxgkml/zdlyxx/sjspcjtg/202209/t20220928_76591366.html,,2,省抽,初检机构：云南华测检测认证有限公司；复检机构：深圳市计量质量检测研究院。,GB 2761-2017,
